"","vereda_code","vereda","bogota","santiago","tecnicafe"
"1","05001008","el cerro",0.677613981549356,-0.160601551818394,0.66304866189637
"2","05001015","el placer",0.682211856949082,-0.140585180733678,0.657885271861358
"3","05001020","la aldea",0.743870344571563,-0.107413231191112,0.721173152103188
"4","05001022","la esperanza",0.712665735474643,-0.0837894869734351,0.697527099191972
"5","05001023","la florida",0.718689736827559,-0.136846082901433,0.704952245717614
"6","05001027","la palma",0.721122908773606,-0.0825485694034122,0.71368543104151
"7","05002001","altamira",0.739774087746362,-0.141843518556963,0.728436318056386
"8","05002006","canaveral",0.73647690709585,-0.154396182303402,0.726397963687724
"9","05002028","la esperanza",0.79027891839598,-0.13693657904764,0.75147726003974
"10","05002029","la florida",0.76829707192925,-0.155245698709133,0.747549232383563
"11","05002039","la victoria",0.784559278841109,-0.15579728956442,0.743794964169944
"12","05002059","san pedro",0.757457717506018,-0.138228818774341,0.736388019103043
"13","05004008","piedras",0.738152672414096,-0.182025813250611,0.674602606651062
"14","05021003","el cerro",0.669141958717834,-0.0561089846861364,0.598874450079526
"15","05021008","piedras",0.640249307750444,-0.00284692920407522,0.589149871771382
"16","05021013","san pedro",0.636817370980488,0.0117451187856322,0.616717118771842
"17","05030008","la ferreria",0.759932560528757,-0.132610990782902,0.726113924378016
"18","05031021","la aldea",0.61279907566082,-0.146735186258922,0.530077116944275
"19","05031031","la maria",0.61640981227648,-0.160325618262532,0.529946349064134
"20","05034006","california",0.770602498236755,-0.083083446539808,0.69337946579546
"21","05034014","el crucero",0.768223698579274,-0.0355031799993558,0.724107177050154
"22","05034061","santa elena",0.773212185641712,-0.0616640821143823,0.733437377897984
"23","05036006","la estacion",0.743200624254915,-0.145555171404237,0.717893012587081
"24","05036009","san isidro",0.728067297463648,-0.116589591063117,0.713714133534424
"25","05036011","santa barbara",0.746668955579606,-0.146629972944914,0.720015409309373
"26","05038025","los pinos",0.472132350897814,-0.113358206084655,0.463066817817773
"27","05040002","bolivar",0.376945424347778,-0.0220969810196134,0.445114059409341
"28","05040020","la esperanza",0.326743556028253,0.0248474913114314,0.371541240321497
"29","05040023","la meseta",0.393059035755039,-0.0375659142778565,0.439483252289651
"30","05040042","puerto rico",0.385379547068989,0.0062298653497713,0.434739925997953
"31","05040044","san isidro",0.252407956541749,0.0275721345741112,0.335809350337702
"32","05040048","santa ines",0.277406695972152,-0.00808224804637875,0.340673527329993
"33","05042014","el pedregal",0.775402360659501,-0.136881222760689,0.727519038472594
"34","05042018","fatima",0.752296648633409,-0.157656323950212,0.71651212260286
